name,classification,actor,director,score,year
一把青,"剧情,爱情","杨谨华,天心,连俞涵,吴慷仁,杨一展,蓝钧天,温贞菱,钟承翰,李程彬,施名帅,李劭婕,欧阳姗,博焱,蔡力允,庄心瑜,班铁翔,周厚安,樊光耀",曹瑞原,9.1,2015
无心法师,"剧情,喜剧,悬疑","韩东君,金晨,陈瑶,张若昀,孔连顺,隋咏良,王彦霖,披拉·尼迪裴善官,赵柯,石筱群,王闯","林玉芬,高林豹",8.3,2015
老手 베테랑,"剧情,动作","黄政民,刘亚仁,柳海真,吴达洙,郑满植,郑雄仁,张允珠,金时厚,陈庆,刘仁英 ,朴素丹",柳昇完,7.5,2015
007：幽灵党 Spectre,"动作,惊悚,冒险","丹尼尔·克雷格,克里斯托弗·沃尔兹,蕾雅·赛杜,本·卫肖,娜奥米·哈里斯,戴夫·巴蒂斯塔,莫妮卡·贝鲁奇,拉尔夫·费因斯,斯黛芬妮·西格曼,安德鲁·斯科特,罗里·金奈尔,内芙·加切夫,加斯帕·克里斯滕森,丹尼尔·斯蒂森,丹尼尔·韦斯特伍德,拉斯科·阿特金斯",萨姆·门德斯,6.2,2015
她很漂亮 그녀는 예뻤다,"剧情,爱情","黄静茵,朴叙俊,高俊熙,崔始源,朴有焕",郑大允,7.2,2015
秘密特工 The Man from U.N.C.L.E.,"喜剧,动作,冒险","亨利·卡维尔,阿米·汉莫,艾丽西亚·维坎德,西尔维斯特·格罗斯,休·格兰特,杰瑞德·哈里斯,伊丽莎白·德比茨基,克里斯汀·伯克,乔治·利昂·马丁内斯,卢卡·卡尔瓦尼,大卫·贝克汉姆,丹尼尔·韦斯特伍德",盖·里奇,8.0,2015
希特勒回来了 Er ist wieder da,喜剧,"奥利弗·马祖奇,费比安·巴什,克里斯托弗·玛利亚·赫斯特,卡嘉·瑞曼,弗郎西斯卡·沃芙,拉尔斯·鲁道夫,迈克尔·凯斯勒,罗伯特·布兰科,史蒂芬·格罗斯曼,妮娜·普罗尔,加德伦·利特",大卫·韦恩特,7.7,2015
路边野餐,剧情,"陈永忠,谢理循,余世学,郭月,赵达清,罗飞扬,曾帅,秦光黔,刘林艳,杨卓华,杨江船,欧孟军,吴得水,宋大成,廖冬凯",毕赣,7.7,2015
思悼 사도,"剧情,传记,历史","宋康昊,刘亚仁,文根英,金海淑,朴元尚,全慧珍,陈智熙,朴素丹,徐睿知,苏志燮",李濬益,8.3,2015
剩者为王,"剧情,爱情","舒淇,彭于晏,潘虹,金士杰,邢佳栋,郝蕾,熊黛林",落落,5.6,2015
"如晴天，似雨天 Like Sunday, Like Rain","剧情,音乐","朱利安·夏特金,莉顿·梅斯特,黛博拉·梅辛,欧嘉·梅雷迪斯,韦恩·普雷特洛,乔治娅·希梅内斯·里弗谢,阿尔弗雷多·纳西索,比利·乔·阿姆斯特朗,萨布丽娜·马查多,达茜·福勒,Heather Whaley,Sammy Pignalosa,Frank Shattuck,Tamara Torres,Buster Whaley",弗兰克·威利,8.2,2014
局内人 내부자들,"剧情,犯罪","李秉宪,曹承佑,白允植,李璟荣,赵在允,裴晟祐,李艾,金大明,金弘波",禹民镐,7.6,2015
我和厄尔以及将死的女孩 Me and Earl and the Dying Girl,"剧情,喜剧","托马斯·曼, 奥利维亚·库克,RJ·赛勒,尼克·奥弗曼,莫莉·香侬,乔·博恩瑟,康妮·布里登,凯瑟琳·休斯,马特·本内特,休·杰克曼,马萨姆·霍顿,鲍比·J·汤普森,切尔西·T·张",阿方索·戈麦斯-雷洪,8.1,2015
红鳉鱼 赤めだか,"剧情,传记","二宫和也,北野武,宫川大辅,柄本时生,新井浩文,北村有起哉,药师丸博子,笑福亭鹤瓶,香川照之,滨田岳,岸本加世子,寺岛进",タカハタ秀太,9.0,2015
处子之山 Fúsi,剧情,"贡纳·琼森,Ilmur Kristjánsdóttir,Sigurjón Kjartansson,Margrét Helga Jóhannsdóttir,Franziska Una Dagsdóttir,Arnar Jónsson,Thorir Sæmundsson,Þorsteinn Gunnarsson,Friðrik Friðriksson,Walter Grímsson",达格·卡利,8.2,2015
黑处有什么,"剧情,悬疑,犯罪","苏晓彤,郭笑,陆琦蔚,刘丹,蒋雪鸣,周逵,吴珏瑾,仁龙 ,刘杰毅,贾致钢,李世儒,谷麒麟,栗梅,邓刚,王正平,九奇,刚子,韩雨烨,田锋,罗威,石英,鄢佳,马沉香,虞正男",王一淳,6.6,2015
灰姑娘 Cinderella,"爱情,奇幻,冒险","莉莉·詹姆斯,理查德·麦登,凯特·布兰切特,海莉·阿特维尔,海伦娜·伯翰·卡特,荷丽黛·格兰杰,索菲 麦希拉,斯特兰·斯卡斯加德,侬索·阿诺斯,德里克·雅各比,本·卓别林,罗伯·布莱顿,埃洛伊塞·韦伯,劳里·卡尔弗特,亚历克斯·麦奎因,约书亚·麦圭尔,王丽雅",肯尼思·布拉纳,6.7,2015
权力的游戏 第五季 Game of Thrones Season 5,"剧情,奇幻,冒险","艾米莉亚·克拉克,彼特·丁克拉奇,基特·哈灵顿,琳娜·海蒂,尼古拉·科斯特-瓦尔道,麦茜·威廉姆斯,苏菲·特纳,娜塔莉·多默尔,艾丹·吉伦,斯蒂芬·迪兰,约翰·C·布莱德利,娜塔莉·伊曼纽尔,格温多兰·克里斯蒂,伊恩·格雷,阿尔菲·艾伦,米契尔·哈思曼,朱利安·格洛弗,伊恩·麦克尔希尼,卡里斯·范·侯登,亚历山大·希迪格,乔纳森·普雷斯,凯莎·卡斯特-休伊斯,托比·塞巴斯蒂安,尼尔·泰格·弗莉,道比·欧帕瑞,恩佐·科伦蒂,杰西卡·亨维克,罗莎贝尔·劳伦蒂·塞勒斯,马克·加蒂斯","迈克尔·斯劳韦斯,马克·米罗,杰雷米·波德斯瓦,米格尔·萨普什尼克,大卫·努特尔",9.2,2015
约会～恋爱究竟是什么呢～ デート 〜恋とはどんなものかしら〜,"剧情,喜剧","杏,长谷川博己,国仲凉子,中岛裕翔,松尾谕,和久井映见,风吹淳,松重丰,内田爱","武内英树,石川淳一",8.6,2015
超能查派 Chappie,"动作,科幻,惊悚","休·杰克曼,西格妮·韦弗,沙尔托·科普雷,戴夫·帕特尔,忍者,尤兰蒂·维瑟,霍塞·帕布罗·坎蒂罗,布兰登·奥雷,约翰尼·赛力玛,安德森·库珀,莫里斯·卡佩德,詹森·库伯,凯文·奥托,克里斯·希尔兹,比尔·马钱特",尼尔·布洛姆坎普,7.2,2015
天将雄师,"动作,战争,古装","成龙,约翰·库萨克,艾德里安·布洛迪,崔始源,林鹏,王若心,肖央,王太利,洪天照,刘承俊,萝莉·佩斯特,冯绍峰,吴建豪,林嘉欣,沙妮·文森,西蒙子",李仁港,5.9,2015
万物生长,"喜剧,爱情","范冰冰,韩庚,齐溪,沈婷婷,沙溢,杨迪,张博宇,赵一维,吴莫愁,雷恪生,李梦,吕行",李玉,5.9,2015
恶棍天使,喜剧,"邓超,孙俪,代乐乐,梁超,杨新鸣,王砚辉,许可嘉,赵曼竹,栾元晖,张鹭,王双宝","俞白眉,邓超",4.0,2015
澄沙之味 あん,剧情,"树木希林,永濑正敏,市原悦子,内田伽罗,水野美纪,浅田美代子,太贺",河濑直美,7.8,2015
花与爱丽丝杀人事件 花とアリス殺人事件,"喜剧,动画","苍井优,铃木杏,胜地凉,黑木华,木村多江,平泉成,相田翔子,铃木兰兰,郭智博,木村绿子",岩井俊二,7.9,2015
